授業名,曜日,時間,時期,階数名,館,使用教室,class_num
人工知能プログラミングⅡ(d1)(d2)(d3),1,5,前期,1,10,117,10
業務システム設計論(RD),2,1,前期,1,10,117,10
データベース(RD),2,2,前期,1,10,117,10
実用プログラミング （RG指定）(前前期),2,3,前期,1,10,117,10
Ｃ言語プログラミング （RM指定）,2,5,前期,1,10,117,10
多変量解析(d2),3,2,前期,1,10,117,10
オブジェクト指向プログラミング,3,5,前期,1,10,117,10
応用プログラミング(e1),4,2,前期,1,10,117,10
Ｃ言語プログラミング （RU指定）,4,3,前期,1,10,117,10
実用プログラミング （RD指定）(前前期),4,5,前前期,1,10,117,10
コンピュータ工学Ⅰ(RT),5,1,前期,1,10,117,10
コンピュータ工学Ⅰ(RE),5,1,前期,1,10,117,10
科学技術者の心得 （学系指定なし）,3,3,前期,2,10,201,9
"科学技術者の心得 （RB,RD,RE,RG指定）",3,3,前期,2,10,201,9
情報産業論(RD),4,2,前期,2,10,201,9
情報システムデザイン概論(RD),2,5,前期,2,10,201,9
生命科学概論(RB),1,2,前期,2,10,203,8
情報システム総合演習(d1)(d2),1,4,前期,2,10,203,8
五感とデザイン(d3),3,1,前期,2,10,203,8
音楽とデザイン(RD),3,2,前期,2,10,203,8
空間演出デザイン論(RD),4,2,前期,2,10,203,8
分子生命科学実験Ⅰ(b1),4,3,前期,2,10,203,8
分子生命科学実験Ⅰ(b1),4,4,前期,2,10,203,8
ＵＮＩＸプログラミング,2,1,前期,2,10,203,8
数理プログラミングⅡ(RU),2,3,前期,2,10,203,8
数理プログラミングⅡ(RU),2,3,前期,2,10,203,8
アミューズメント産業論(d4),5,1,前期,2,10,203,8
オペレーティングシステム(RD),5,3,前期,2,10,203,8
コンピュータプログラミングⅠ・同演習(RD),5,4,前期,2,10,203,8
コンピュータプログラミングⅠ・同演習(RD),5,5,前期,2,10,203,8
現代マスコミ論(RD),1,2,前期,2,10,204,7
インタラクティブデザイン論(d3)(d4),1,3,前期,2,10,204,7
情報システム総合演習(d1)(d2),1,4,前期,2,10,204,7
ゲームプログラミングⅠ(d1),3,1,前期,2,10,204,7
人工知能(u4),3,2,前期,2,10,204,7
画像工学,3,5,前期,2,10,204,7
地域貢献論(RD),4,1,前期,2,10,204,7
アルゴリズムとデータ構造Ⅰ(RD),4,2,前期,2,10,204,7
データ表現とプログラミング(d1),4,3,前期,2,10,204,7
コンピュータグラフィックス,2,1,前期,2,10,204,7
生命科学基礎実験Ⅰ(RB),2,3,前期,2,10,204,7
生命科学基礎実験Ⅰ(RB),2,4,前期,2,10,204,7
人間計測法(d3),5,2,前期,2,10,204,7
人間計測法(d4),5,2,前期,2,10,204,7
統計学Ⅰ(RD),5,4,前期,2,10,204,7
統計学Ⅰ,5,4,前期,2,10,204,7
英語ⅡＡ （ＲＭ，ＲＥ指定）,1,3,前期,2,10,206,6
英語ⅢＡ （ＲＵ指定）,2,1,前期,2,10,206,6
英語ⅢＡ （ＲＤ指定）,2,2,前期,2,10,206,6
英語ⅡＡ （ＲＵ指定）,2,3,前期,2,10,206,6
英語ⅡＡ （ＲＢ指定）,2,4,前期,2,10,206,6
人文社会学ゼミＡ,2,5,前期,2,10,206,6
人文社会学ゼミＡ,3,3,前期,2,10,206,6
東京電機大学で学ぶ,3,4,前期,2,10,206,6
